,reviewText,sentiment,prediction
2068,"Of the many shelved Death Row-associated projects, this one represents probably the most regrettable what-if, how-much-of-a-classic-it-would-have-been-had-it-been-released-on-time, situation,

Rap groups tend to behave a bit like radioactive nuclei, i.e., they have a decay half-life. It's quite short and it's especially brief when they are put together sort of randomly and loosely as a promotion vehicle for their members, which was the case with the LBC Crew. This album was recorded around 1995, but it had to wait for Dogg Food to come out first, as Daz and Kurupt had already been introduced on previous Death Row releases and it was their turn to put out an album. But Dogg Food was delayed for legal reasons and only came out in late 1995, just when 2Pac came in and instantly became the massive star around which everything in the label gravitated. Meanwhile there were issues with how exactly the album was to be released. Bottom line, they were given enough time to fall out with each other, and they duly did it, right around the time when the label itself began falling apart too.

And the album never came out, which is real shame.

There are a couple forgettable tracks, but overall this is at least on the same level as Dogg Food, and it should have ranked right there with it and other Death Row releases in the pantheon of G-Funk classics. Unfortunately, at this point in time it's not really possible to appreciate how good the album is as after it got shelved, several of the tracks were reused for other projects and much of the rest leaked on the internet. So few people will be hearing all of it for the first time. And that's also a shame because the tracks that came out on other projects around 1997 ended up lost in the shuffle of the Death Row collapse -- for example, Out The Moon was on the Gridlock'd soundtrack, which went gold, but it nevertheless remains a relatively obscure track because no video was ever made for it and it was never given any serious promotion, Really sad.

Anyway, if you have never heard any of these tracks before, consider yourself lucky and listen to it as a new album from start to finish, you will not be disappointed.",positive,negative
2069,"If you're down with sounds from the DEATH ROW era when Pac, Dre Snoop, Dogg Pound and
others were deeply on the map. You would enjoy this album, cauz this was supposed to
come out around 1996 and it was never released. You can hear Tray Dee from The Eassidaz
was part of the group as well as lil' C style. For all true West Coast fans. Enjoy.",positive,negative
2073,one worthwhile tune,negative,positive
2078,"I was waiting for some of the moody, lonely music that was heard on Rat Patrol but haven't found it yet. It certainly isn't on this CD",negative,positive
2080,"This is an excellent quality CD with the original theme and background music I remember from the 'Rat Patrol' series.  It's quite similar to the 3 CD set of Dominic Frontiere's music from 'The Outer Limits', and I hope there will soon be a release of his original scores from '12 O'Clock High'.",positive,negative
2081,"I gave it four out of five stars not because it isn't good, but because I was hoping Verishuvi & Please, Please, Please were on 2010.  Since purchasing I figured out they are on 2011 and have ordered it.  In context, Doki Doki Morning seems out of place with the rest of the Album, but I'm one of those that wouldn't have ever purchased this if it hadn't been for Babymetal.

For those that want to know what you get before you buy:

Tracklist

  FLY AWAY
  Hello! IVY
  Chime ()
  Happy Birthday () (Cooking Club Minipati)
  Princessa la mode () (Regular Edition Only) (Cooking Club Minipati)
  Brand New Day (Newspaper Club SCOOPERS)
  Dear Mr. Socrates (Baton Club Twinklestars)
  Medaka no Kyoudai (; Medaka Siblings) (Go Home Club sleepiece)
  DoKiDoKiMORNING () (Heavy Music Club BABYMETAL)
  Yume ni Mukatte (; Go To The Dream)
  message",positive,negative
2084,Love it!!!! It has a remix of a Backstreet boys song that I couldn't find anywhere,positive,negative
2088,Alotta breaks on this album,positive,negative
2090,"Gareth Davis and Rutger Zuydervelt have first met around 2009, when the duo recorded their first piece, Soundlines. After the limited edition EP was self-released by Machinefabriek, the duo didn't waste any time, and put out another 3 CDr, titled Ghost Lanes [which later got picked up by Dekorder with an additional track]. A year later, Davis and Zuydervelt got together again, this time for an album for Home Normal, titled Drape. And now the two appear on Sonic Pieces, with a two-part, Grower. Those familiar with Davis, can instantly imagine the brooding darkness this clarinetist can contribute to Zuydervelt's shuffling treatments. At times barely audible, woodwind breathes over low rumbling drones, creating a stilled atmosphere where even a pin drop gets picked up by the mic. The tender poise of each wave is slowly cultivated through a unique language among the two musicians, allowing the sound to unfold on its own, in environment free of grievance.  Focusing on the music, or just letting it seep, is something a mind must decide on its own. In either case, the meditative piece will reward those with patience. No wonder Grower was featured on Headphone Commute's Best of 2011, Music For Sonic Installations In the Cavern Of Your Skull. Be sure to also check out my review of Gareth Davis & Frances-Marie Uitti Gramercy, out on Miasmah. I'm sure we'll hear from the two again...",positive,negative
2092,Fulfilled my expectations.,positive,negative
2103,song,negative,positive
2106,Of course I gave it 5 stars. I can remember going to his Welcome To My Nightmare Concert in 1975 and loved it,positive,negative
2110,"If my memory serves, this was Sinatra's first major recording.  I also have the much later version, an up tempo variation to better suit his voice as it aged.  I like this version better, as it is smoother.  But this in Sinatra, and you can't go wrong with either one.",positive,negative
2114,I enjoy only a few of their songs. If you like this band this is an awesome deal. . .,negative,positive
2119,I love the Russian issued Maiden CD's as they sound great and you get the Besides as bonus tracks. I would recommend and Maden fan pick these up as they offer a cheap way to get something uniquely Maiden  at a cheap price.,positive,negative
2139,"Had this music tape in college way before, now amazon offer it for free, have a nice memory! BTW, cloud drive is a very nice thing, both for amazon and buyers, time to buy amazon stocks now:)",positive,negative
2142,"one of the best albums I have ever bought, worth every penny.

I hardly buy any music what so ever, but I really think buck 65 has put a lot of work into this and deserves nothing less",positive,negative
2156,"This is vintage Hank Jones, rolled in with Duke Ellingtons compositions.  What's not to like when you have two of the royalty of jazz on one album.  The only reason I didn't give it 5 stars was because recording was 1976 and had some flaws when it was remastered.  5 stars for the music tho.",positive,negative
2161,I needed the songs from this album to resurrect a compilation album fro the 80's.. called rock 80. An album put out by K-Tel records.,positive,negative
2164,"Whether they work as advertised or not the sounds are relaxing and help me focus.  If not for the annoying voice that says not to operate machinery they would also be perfect study/work music.  This one has lovely birds, crickets, water, and you cannot hear the subliminal messages.  Its not at all distracting like instrumental/vocal music.",positive,negative
2165,ok,positive,negative
2170,Performance is very good but recording quality not good.,positive,negative
2175,"I don't know what to say; okay, this song makes me smile and dance. I don't think my bottom would be described as ""fat""--but I'm not skinny like a model either--so this song is sort of parody (to me) of California Girls! Just have fun with it!",positive,negative
2186,"So my wife and 11 year old son steal my password and this is what they decide to purchase!?!  What, was Electric Avenue unavailable to stream?  Time to start shielding the 5 year old from the musically wayward.",negative,positive
2187,Ok,positive,negative
2189,Not as soothing as I had hoped.,negative,positive
2192,This song should be played before each Packed game. Don't forget the beer and brats.,positive,negative
2261,"Born in New York City in 1917, orchestra arranger/conductor Robert ""Bob"" Mersey began his long career in the late 1930s with the Big Bands of Abe Lyman and Woody Herman before joining NBC radio after WW II as their staff arranger. Following a stint in Europe in the late 1940s where he scored several film soundtracks, he returned to the U.S. in the 1950s, joining the Gordon Jenkins orchestra as their arranger. He followed that with the same work at Big Top Records, a label launched in 1958 by Johnny Bienstock, where he also released one single under the pseudonym Spencer Ross,  Bobby's Blues/Theme Of A Lonely Evening  (Big Top 3035) in 1960. It did not chart nationally.

He then moved over to Columbia and CBS TV, and their subsidiary Colpix where, mostly under his real name Robert Mersey, he did arranging/conducting for artists like Andy Williams (some 17 of Andy's hits were backed by Mersey), as well as Barbra Streisand, Johnny Mathis, Nina Simone, James Darren, Aretha Franklin, Johnny Nash, Dion (DiMucci), Frankie Avalon and many more. He also found time to release three more singles of his own and one LP as Spencer Ross, with the first being his only claim to national fame in terms of a hit record. That was Tracy's Theme, written by Robert Archer for the female character in the December 7, 1959  CBS TV production The Philadelphia Story, originally a 1940 film and, in 1956, re-made as the musical High Society. Featuring the great saxophone work of Jimmy Abalo, and released as Columbia 4-41532 under the billing Spencer Ross, it peaked at # 13 Billboard Pop Hot 100 in January/February 1960 b/w Thanksgiving Day Parade, from the TV production Miracle On 34th Street. Why it never made any impact on the Adult Contemporary (Easy Listening) charts at the time is a mystery since it was a perfect fit for those listings.

That success led to the 1960 album covered here, titled simply Spencer Ross & His Orchestra (Columbia CL-1525/CS 8325) containing:  La Montana (If She Should Come To You); Carolina Moon; I Go; Dreamy Melody; Theme From ""I Am A Camera"" (Why Do I?); Hop, Skip, Jump; Tracy's Theme; Song For A Summer Night; Solitaire; Play Some Music For Broken Hearts; What's It Like In Paree?; Your Continental Touch. Two of the tracks - Song For A Summer Night/Dreamy Melody then came out as the single Columbia 4-41644, and a bit later in 1960 he had Theme From ""My Three Sons""/Heaven Can Wait r4eleased as Columbia 4-41877. Neither could get him back on the charts, nor did his interpretation of Song Of India which, billed as The Bob Mersey Orchestra, came out as one side of Colpix 152 (the flip, Strangers When We Meet by the Stu Phillips orchestra, didn't chart either).

In 1962 he apparently released an acclaimed - and yet obscure - album on Gallant Records titled Great Jazz From Great TV which, although showing on the label that it was composed, arranged and conducted by Bob Mersey, was credited to yet another pseudonym - ""Det Moore & His Orchestra."" This contains: Jazz Dramatic; Club Cool; Forever Frantic; Call Girl; and Flutesville, among others from shows like Ben Casey, Route 66, The New Breed, Manhunt, My Three Sons, Window On Main Street, Armstrong Circle Theater, Kraft Mystery Theater, and Play Of The Week.

I'm surprised some outfit like Collectables or Collector's Choice hasn't yet remastered both albums for CD format. If they do, one would hope they'd include those non-album sides mentioned as ""bonus"" tracks. If all you want is Tracy's Theme an excellent copy can be found in Eric Records wonderful volume Hard To Find Orchestral Instrumentals.",positive,negative
2271,"Hailing from upstate NY, the Spring Standards wowed a small crowd this summer (2010) at a WXPN-sponsored show in Haddon Lake Park in South Jersey.  Except for an occasional assist by the band's manager on second guitar, the band was a self-contained trio of multi-taskers.  Heather Robb, James Cleave and James Smith sang lead and harmony and simultaneously covered either bass and bass drum, acoustic guitar and high-hat, or piano/organ and snare/tom.  The drum parts were lockstep - you'd have sworn there was a drummer hidden behind a speaker column.  All but track two (due to language) made it to the live show.  So what does the disc sound like?  Pretty much the same as the infectious live show.  Scattershot blues (""Here I Am"").  Cabaret piano (""Queen of the Lot"").  Scrappy Appalachian backbeats (""The Hush"").  Fingerstyle ballads (""Frozen"").  Decemberists-style rock (""Not Again"").  And lots of layered vocals in unusually close harmonies (""Skyline,"" ""Bells and Whistles,"" ""Trouble"").  If you crossed Paul Simon, Lady Antebellum, and the Pretenders, would things be different?  It's likely -- the Spring Standards have set a new one.",positive,negative
2277,Yall not lil Wayne fans because if yall was yall would know this was a free mixtape,positive,negative
2286,One of their better ones.,positive,negative
2289,"I am picky, so i chose the songs i like.",positive,negative
2301,"I purchased this album several years ago and ,as today, I can't sit to hear the whole thing. I admit there some nice orchestration here and there but every piece is a protest song or some kind of social comment. I want music to move me, not to lecture me. This album is so dense that I don't feel the salsa vibe it needs. Salsa music is about fun, dance, etc. I really missed his flavor on earlier albums like ""Siembra"" and such. Even those albums contained some social content but they were very enjoyable.",negative,positive
2314,This is one time where I will say the remake outshines the original song.  Pseudo Echo has a much better sound and beat.,positive,negative
2316,"Oh how I wish I could get all of their songs on discs.  Needs more and more,  we do.",positive,negative
2336,"With my limited understanding of Spanish, I had no idea what this song was trying to communicate when I first heard this awesome cancion. Now I know, thanks to the translated I-tunes version.",positive,negative
2344,"Great song. Unfortunately, Amazon does not sell ducks and the song made me really want to buy one.",positive,negative
2348,Bought this song so that we had all of the songs we do in this play for children's theater,positive,negative
2352,Came as advertised.,positive,negative
2353,"There was nothing here that was ground breaking, when you pray and you feel the spirit left your prayer request up to God. Really? it's about faith, but if you believe lifting up your hands will do it go for it.",negative,positive
2365,"Two songs should not be melded as 1 if they are as different as this. Instead,they should do 1 or the other.",negative,positive
2378,Ya just never know what you will think till you have heard it.  I actually already had a few tracks by these guys,positive,negative
2389,"While I have been disappointed by the recent Fabric releases, this one stands out as a replay all the time. It's very different from anything else, and far better than any other mixes I've picked up from the legendary DJ T.",positive,negative
2392,"A menacing avant-garde assault on black music conventions, thick with mean bass lines and creepy late night tales - a young lothario high on the wrong drugs.",positive,negative
2402,"If you've never heard Jane Monheit sing; you've missed probably the best song stylist in the business today.  If you have heard Jane Monheit sing, you're probably not reading this review because you already know.",positive,negative
2404,"Strangely enticing music for violin, guitar, and cello, also featuring more distinctively Turkish instruments and light percussion.  It is the ultimate bathtub with a glass of red wine surrounded by candles CD, not that I'm the kind of guy who sits in a bathtub drinking red wine.  As another reviewer noted, it is indeed highly repetitive, but, then, so is a great deal of so-called ""new age"" music (think of Vangelis, for example).  The CD is to be chosen for the quality of its ambiance more than its musical innovation, to be sure.  I am musically disappointed in the fade-out more than the repetition, as this music might easily have come to clean cadences.",positive,negative
2413,this cd is a tru accomplishment for koopa showing people how its done like the way he diss paulwall on man on fire chamillitary mayne the best rapper ever and lyricist!!!!!,positive,negative
2423,THE GOAT,positive,negative
2441,this was just simply not my style some of the songs were great but most of them were just not good classical music in my book!!,negative,positive
2445,"If you like the TV show, you probably love the music.  It really set the tone for the mystery and eeriness of these strange tales.  Whenever the music faded up,  you knew some paranormal thing just happened or that the host, John Newland, was about to steps out of the shadows and tell you how weird it all is.  My only gripe - I wish it was longer.",positive,negative
2456,"Got to have some KRS-One legendary hip hop artist, teacher and scholar... Not like course in Beyonce, Jay-Z or even Kanye. There are neither the root or the foundation of hip hop.",positive,negative
2464,"Great album! Dark synth music from Norway, cinematic, completely original, beautiful stuff.

If you're into early Depeche Mode and Bowie's Berlin stint, or Human League, Fad Gadget, Joy Electric or Kelley Polar (to quote a review in a lifestyle paper here in Norway), this is more than worth having.

Great artwork by noted painter Christoffer Rdlund.",positive,negative
2472,"Had Ryan Seacrest played this song at the top of every hour, a month before the election, Hillary would have won in a landslide.",negative,positive
2477,Heard this song first on You Tube and bought it here on Amazon so I didn't have to hassle with iTunes. I really enjoy Sam's music.,positive,negative
2482,"I have a compilation of speeches from Obama, Hilderbeast and other progressive luminaries.
I mixed laugh tracks with applause for a very unique and different perspective given the political climate.
Benghazi was a laugh a minute..",positive,negative
2486,This sound effects pack provides a variety of laugh track recordings to make it less tedious to hear when applying cues for the sitcom effects.  It's pretty helpful.,positive,negative
2489,"I originally purchased this album at a used record store in the late 80's because I liked the cover. There was a short period of time when I stopped listening to vinyl, prefering the convenience of CD's. Unfortunately I sold my copy at a flea market. A few years back I found a copy at a record show and had to have it. If you like to explore the non commercial seldom heard artifacts from the late 60's and early 70's as I do, this is definitely worth a listen.",positive,negative
2493,"Not as good as the original, just doesn't sound good.  Get the Vince Guaraldi Trio version instead.  It's much better.",negative,positive
2500,This song kinda sucks- I was on pandora or grooveshark and heard a song titled the same by Lupe and this was not it. Would not recommend,negative,positive
2505,"There was a error in telephone number. In accordance you report, this product was comeback to the suppliers, in this sense I don't have opinion",positive,negative
2510,Not relaxing enough.,negative,positive
2523,"I saw them at Atlanta Fest this past summer (held yearly at Stone Mountain Park) and, while they were in one of the ""side"" tents, I DEFINITELY feel they deserve to be on the main stage and hope they are next year.

In fact I feel they are such a talented band it's almost a shame they are a Christian band. And by that I mean the simple fact that we all know there are a lot of people who listen to this type of music who are turned off at the mere mention of the words ""Christian rock"", which is a shame, a real shame.

Both their playing abilities and compositional skills are top-notch and I have NO doubt what-so-ever that, if not for the lyrics and label, this band would be playing the mid-level club circuit and have major label backing. Maybe even bigger.

But respect to them for sticking to their beliefs and not selling out and conforming to what the mainstream wants, simply for more exposure.  I can only hope that more people wake up to their talent and they get the recognition they deserve.

Me, I'll be waiting for their full-length debut and their next concert in my area!",positive,negative
2526,We make mistakes but we don't have to stay there in that downward position. This song tells us to get up from that place. We have to make it Right with God first Not man!!,positive,negative
2528,"The rap flow is ""Sick""!",positive,negative
2542,"Maranatha released SO many albums over the years.  It's an absolute shame they didn't do more like these...a cappella!  If you questioned whether their vocalists were good, this proves they can deliver.  This particular song is from Lenny Leblanc, composer of ""Above All.""  This song is another testament to his songwriting ability.",positive,negative
2547,"Undoubtedly one of the best vocalist "" BAR NONE "" of all times... #can't lose with any of her songs...FACTZ",positive,negative
2558,"I love this box set.  Only problem I have with it is that I did not get the DVD that is supposed to (according to the description) come with it!!!  Otherwise, well worth the purchase as there were only 5,000 made.",positive,negative
2565,"This is the second copy of this DVD/CD combo I have bought. The first one disappeared in a move.... yes, it's that good.",positive,negative
2579,"I really did not care for this cd at all
it could have been a better cd tape to listen to",positive,negative
2584,"Always love Burt, but not this time. Shouldn't have downloaded this.",negative,positive
2586,"Founded in France in 1974, CHARLY Records was relocated to Britain a year later.
They specialized in reissuing old material from SUN, VEE-JAY and other lesser US labels.

THE BLUES...A REAL SUMMIT MEETING is two-LP various artists set from the late 1980s.
Originally issued by several labels, this Newport in New York concert was hosted by B.B. King.

DISC ONE-A
[5:50] Little Red Rooster - ""Big Mama"" Thornton
[7:44] Ball and Chain - ""Big Mama"" Thornton
[2:56] Smooth Sailing - Jay McShann
[4:44] Confessin' the Blues - Jay McShann
DISC ONE-B
[4:14] They Call Me Mr. Cleanhead - Eddie ""Cleanhead"" Vinson
[4:50] Hold it Right There - Eddie ""Cleanhead"" Vinson
[4:51] Back Door Blues - Eddie ""Cleanhead"" Vinson
[4:21] Kidney Stew - Eddie ""Cleanhead"" Vinson
[2:36] That's All Right Mama - Arthur ""Big Boy"" Crudup

DISC TWO-A
[2:16] Honky Tonk Train Blues - Lloyd Glenn
[3:47] After Hours - Lloyd Glenn
[3:05] Pine Top's Boogie Woogie - Lloyd Glenn
[5:10] Long Distance Call - Muddy Waters
[4:18] Where's My Woman Been - Muddy Waters
[3:48] Got My Mojo Workin' - Muddy Waters
DISC TWO-B
[7:02] The Drifter - Clarence ""Gatemouth"" Brown
[6:40] Please, Mr. Nixon - Clarence ""Gatemouth"" Brown
[7:10] Outside Help - B.B. King

TOTAL TIME: 85:22",positive,negative
2592,"SUPERB is right!  I have rarely, if ever, heard Sonny Stitt sound like this.  Everybody knows about his instrumental prowess, so let's talk about his sound for a moment.  On this particular album, Stitt's sound is so rich, so full, so visceral, it sounds as if he's gonna pop right out of the speakers and play in your living room right next to you.  I have NEVER heard Sonny play with such a full, enveloping tone as he does here. At first, I thought he might have quit smoking or something, but there he is with holding a cigarette on the cover.  But he must have done something to obtain the lavish, sumptuous timbre he plays with on With the New Yorkers.

And speaking of which, the New Yorkers in question (Hank Jones on piano, Wendell Marshall on bass, and Shadow Wilson on drums) support Stitt with aplomb here, never getting in the way, but playing more than we are accustomed to from rhythm sections on Sonny's Roost albums).  Hank Jones plays several fine solos throughout, and comps well behind Stitt's solos.  And what solos they are!  Sonny, in addition to sounding better than usual tonally, is very much inspired throughout this disc.  Maybe he ate his Wheaties the morning of this session.  I mean, he usually sounds good, but he has never, to my knowledge, sounded THIS good. I'm talking in terms of tone, power and timbre. What a transparent, beautiful sound!

When I noticed that there were no reviews for this album, I knew I had to review it!  There are well over one hundred Stitt albums recorded and some of them are bound to get lost in the shuffle.  So I considered it my civic duty to turn people on to this album, so I could tell the  world (assuming that Amazon RR readers represent the world) the this is an astonishing record that you shouldn't miss.  Please note that I am reviewed the Fresh Sounds vinyl reissue here, and the pressing is excellent.  If you only need one Stitt album in your jazz collection, you can't possibly do better than choosing Sonny Stitt and the New Yorkers (uh, doesn't he play with ""New Yorkers"" on all his albums?).

Anyway, BUY IT!",positive,negative
2595,Anything w Morrissey singing is 5 star,positive,negative
2604,Can't beat any oldies,negative,positive
2613,"I'm really enjoying this soca tune!  Growing up I was always used to that guy that sings ""Hot, hot, hot,"" and then later that guy that sang, the ""dolla"" song.  Remember those political soca tunes????",negative,positive
2629,"It was a gift so I guess my mom liked it.  Didnt hear anything negative about it so guess she""s enjoyng every song.",positive,negative
2634,"I love mya, but she needs to stop",negative,positive
2635,Happy Customer!,positive,negative
2644,"Yes, the title is a liberal take on Frank Zappa's popular quote about Jazz. But finally there is a rock album worth the title of ""ROCK ALBUM""! In the past 15 years, rock music has degenerated into derivative displays of musical bravado. Instead of allowing the music to stand on its own and focus on creating fun, entertaining, rock & roll music, bands tried too hard to differentiate and experiment needlessly. And when one band or song got ""popular"", hundreds of copycats filtered through the airwaves resulting in the watered down guitar pop that you hear on the radio today.

This album is a non-apologetic, dirty, sexy, joyride! It's what rock USED to be like! No whining, mopey, ""woah-is-me"" crap! No cutesy engineering magic! This album goes back to rock's roots and reminds you what made rock great!

If you like the old school rock bands where FUN was the order of the day, you'll love this album It is just fun, in-your-face rock! If you like your rock whiny and self important, look elsewhere! You have been warned!",positive,negative
2646,I heard this song on the soundtrack to Square Enix's Sleeping Dogs and it immediately stood out from the other tracks. I bought it and I love it!,positive,negative
2648,"The music is great but the CD only has FOUR songs!!!
The $ is way too high for only 4 songs!!!!",negative,positive
2653,"This music compilation of jabbawokeez beats is amazing and inspirational. It makes you wanna do what they do except I couldn't do it cause Im old lol but a big fan and I can never get enough of their dance and music. Jabbawokeez does bring colors to these beats so watch their routines to these songs, its bad asz. Hopefully they'll come out with a new album and or a bluray of their show. It be bad azz.",positive,negative
2656,"For years I have been a fan of Elvis Presley, especially his religious music.  When I saw this song was available I felt that I must have it.  As usual, Amazon came through.  Only once in a number of years was I disappointed in a purchase from Amazon, but after I contacted Customer Service the problem was resolved.  Keep up the good work.",positive,negative
2674,"Amazing - thought perhapa was cheap bootleg- very wrong
Very high quality
Very rare recording w/great sound
LP is MINT
Jacket is a bit rough but it is a flimsy jacket issued by the record company- keeping in mind with it's age , it has held up well
Same with the other volume
Great stuff- A + thank you",positive,negative
2676,Good music quality. Had to download the amazon mp3 downloader which went very smoothly. I received one email with my total cost even though I got three tracks one at a time.,positive,negative
2682,"Sadly, this is NOT the musice from the show Sing-off. The groups don't sound the same, and the biggest give away, is that the show was centered on acapella music, and this is not acapella. I'm not sure what this is exactly, but if you're looking for the sing off music this isn't it.",negative,positive
2686,"Avril Lavigne has built a full career off of being an angry little pistol of a woman.  You can come away from a lot of her songs, if you're a guy, feeling you just got kicked in the shin (even while enjoying the music).  ""Smile"" is a wholly different departure for Avril.  You still get a dose of the Angry Canadian skatergurl, but you also get the feeling that this is more hopeful song.  Avril seems to be bouncing along, energetically, singing about the positive way her significant other makes her feel.  It's nice to get this happier version of Avril, while she still remains true to her punk roots.",positive,negative
2690,Classic. I downloaded it to ensure a good quality sound for an 80's themed meeting soundtrack. I just cannot believe that my Director of Operations had never heard this.. only the Marcia Griffiths original. SMH,positive,negative
2703,"TThe underground album should be considered as the first album. why? This album is a really great album. it has his first recorded songs way back before his voice changed deeper. you can still tell its him by the style if his rapping. I gave it 4 stars because they added songs that were already out on his other albums. other then that, this is a diamond in the rough that every project pat fan should have.",positive,negative
2727,Great song off zero dark thirty trailer.,positive,negative
2745,I had this vinyl when i was a teen and i had to get the greatess vinyl all time 1965,positive,negative
2756,"I got his last mix tape with where you going Mr Peanut on it. Bout to cop this one. I think 50 signed him because he can tell that Kidd wrote Lil Waynes raps when Guille stopped. I would like to see Nut and Guillie the Kid get the props that they due. So all in all this is a pretty good album from a formerly unsigned NOLA rap Vet. Big ups Kidd 9th ward Rida Gang Ha nicca! Its a shame that the true talent does not get exposed and insteand you associate most of his hottest songs with garbage lil Weezy. Like Ms Officer was a KID thang, and Neck of the Woods was a Guille joint.

I remember when a rap style was like a finger print. When you opend your mouth to spit from the first bar you could tell yea thats a Pac verse or you tryin to sound to much like 2Pac or Spice 1. Kinda like when everybody said BG stole his style from Magnolia Slim. Even BG had to mention it in one of his older songs. Point is Nut does not sound like nobody else except the few instances where he sounds like Lil Wayne, but I guess so because he wrote a lot of lil Wayne verses. Rap has been murdered and drowned in hype, but at least Nut is staying real ya dig. Big ups. Bring Rap Back like the Eddie Bow.",positive,negative
2757,"not quite the exact version i was looking for, but this ones great as well",positive,negative
2762,This CD repertoire  is more mellow than marshmellow and even Mr. Most was not able to extract his long time ability to set new moods to old standards.,negative,positive
2767,I was looking for another recording of this song besides Hapa's and this was the first to come up on amazon search so I bought it.  I listen to this at least once a day.  I may check out the rest of the album too.,positive,negative
2768,"Barrett's Privateers is a standard in the field.  Written and performed by the late Stan Rogers, it is a classic.  Supposedly, there are bars in Newfoundland where if you can sing a verse of this, you get a free beer, or ale, or something.",positive,negative
2769,Good but not as good as i thoight it would be.,negative,positive
2789,"I first heard Amon Tobin on Pandora and in-turn went and got a bunch of his albums. The tracks are very hit-and-miss for my taste. None of it is bad quality, it was that I would love listening to 1/3 - 1/2 of the songs, the other ones I pretty-well leave off my playlists. But THIS album (just purchased and listened through a few times) has well-above the ""love"" ratio of the other albums. This will likely be my favorite full albums of his. Doesn't contain my favorite individual-track(s) like The Killer's Vanilla, but totally an album to put on, in its entirety, and do work (SON!). Such skill this one has.",positive,negative
2794,"Eskmo does not fit everyone's view of electronic and vocal mixtures, but I like his approach to a variety of topics, styles and rhythm.
Certainly, the hip-hop uses more of what he does, but it's not meant to be, ""in your face, mother f""
Sorry, I like his style and the music more than the shouting and noise of others.",positive,negative
2796,A,positive,negative
2804,Good item. Five stars.,positive,negative
2813,"Cutting edge and common sence.
So practical and life changing one thought at a time.",positive,negative
2818,Certainly not the voice of Richard Burton.,negative,positive
2830,"I really enjoy this recording of Vivalid's ""Four Seasons"" by Eugene Ormandy conducting the Philadelphia Orchestra. I feel that it is wonderfully expressive (some other renditions lack emotion or are too stiff) and perfectly timed (some other renditions play it waaaay too fast and others slow down at times when I feel it is inappropriate), all while never being overly gratuitous with the music (some other renditions really go to town on the solos). I've listened to a few other versions, and this is the one I have stuck with.

[P.S. I heard the ""Seasons"" by Eugene Ormandy / Philadelphia Orchestra on another disc prior to finding this one. On the remainder of this disc there are some other tracks, aside from ""The Four Seasons"". I have not listened to these yet, so I cannot vouch for those.]",positive,negative
2833,"This is not the version of the song from the movie, but it is the best quality you'll get of anything like that version. It's close enough, but for something saying it's of the Savannah Smiles soundtrack, it's a real shame they didn't add the original version to the soundtrack, and it was a small disappointment. I just went ahead and converted my copy of the movie with that portion into an mp3. Hey, I technically already paid for it here, right?",positive,negative
2834,"Trae (Tha Truth) has always been one of my favorite rappers to come out of Houston, TX. He has been around a long time, and in my opinion, is way over due for his time to shine. If it hasn't been one thing then it has been another. Always humble, and doing great things for others, Trae is one person who deserves to shine. Earlier this year, 97.9 Tha Box (radio station in Houston) put a ban on Trae's music and even went so far as to fire some of their own personnel for associating with him. They claim that Trae's music glorifies violence and is better left off of the radio. Trae responds with this powerful mixtape, letting it be known that he won't stand for that kind of bs. Support REAL Hip-Hop: Buy this, give it a genuine listen and you will almost be compelled to scream, ""F*** 97.9,"" for what they are doing to Trae. Like I said, this mixtape stirs up emotions that you just don't find in Hip-Hop nowadays. Trae Tha Truth forever.

5/5",positive,negative
2836,1,positive,negative
2839,"I became acquainted with Sovereign Grace Music two years ago at -Worship God-, a worship conference that they host. I was overwhelmed by the depth of the lyrics and the music that gave it breath. Unfortunately in my opinion -Risen- though sound theologically, is horrible musically.
It's not that these songs aren't singable, it's just that they aren't good musically. I plan on attending -Worship God- this year, and hope to find the live versions/tweaking to be a little less boring.

Maybe I need to digest this album more, but as it stands there is no All I Have is Christ, The Fathers Love, Completely Done, I Will Glory in My Redeemer, or Jesus Thank You on this album.
I really hope that SG figures out where they went wrong here, maybe overproducing/too much micromanaging and not enough freedom for the songwriters? Just a guess...",negative,positive
2849,"I like Renaissance music, and have listened to many works or pieces in this category.  This album says ""The 99 Most Essential Renaissance Masterpiceces"".  I totally disagree.  This compilation has Medieval music (eg. Cantigas, Oswald von Wolkenstein, Landini) and early Baroque (eg. Monteverdi).  More surprisingly, I found many unfamiliar pieces.  I had never heard of these pieces such as Georg Bhm, Melchior Borchgrevinck ...  It is a good chance to know these pieces. However, be careful.  I don't think these are the essential Renaissance masterpieces.  This album lacks early Renaissance music especially early English (eg. Dunstable, Eton choirbook, Tallis), Burgundian school (eg, Dufay) , many important Flemish school compmosers and pieces (too many!), and Iberian composers (Tomas Luis de Victoria, Milan).

Overall, it has lots of fan, but not a good overview of so-called ""Renaissance music"", particularly for beginners.",positive,negative
2857,I like the fact that you can preview songs prior to buying.,positive,negative
2872,Does not ring true. Guy sings like a Joe Crocker clone. Voice and tempo does not fit the subject.,negative,positive
2875,this cat can write some cool songs,positive,negative
2876,The disc I ordered was exactly what I expected.  Strange Streets is a rare disc and I'm glad I found it.,positive,negative
2879,Okay,positive,negative
